id,title,country,indicator,ticker,comment,category,period,referenceDate,source,source_url,actual,previous,forecast,actualRaw,previousRaw,forecastRaw,currency,unit,importance,date,timestamp_captura
421311,RBA Hunter Speech,AU,Interest Rate,ECONOMICS:AUINTR,"In Australia, interest rates decisions are taken by the Reserve Bank of Australia's Board. The official interest rate is the cash rate. The cash rate is the rate charged on overnight loans between financial intermediaries, is determined in the money market as a result of the interaction of demand for and supply of overnight funds.",mny,,,Reserve Bank,http://www.rba.gov.au/,,,,,,,AUD,,0,2026-09-14T02:30:00.000Z,2026-09-13T18:10:47.976743+00:00
401456,Capacity Utilization MoM,JP,Capacity Utilization,ECONOMICS:JPCU,"In Japan, capacity utilization is the quantity of production divided by the quantity of production capacity, expressing the state of operations for various facilities in the manufacturing industry. It does not measure the absolute level of capacity utilization but the relative capacity utilization rate compared with the benchmark year.",bsnss,Jul,2026-07-31T00:00:00Z,Ministry of Economy Trade and Industry (METI),https://www.meti.go.jp,,4.1,,,4.1,,JPY,%,-1,2026-09-14T04:30:00.000Z,2026-09-13T18:10:47.976806+00:00
403228,Industrial Production MoM Final,JP,Industrial Production Mom,ECONOMICS:JPIPMM,"In Japan, industrial production measures the output of businesses integrated in industrial sector of the economy such as manufacturing, mining, and utilities.",bsnss,Jul,2026-07-31T00:00:00Z,Ministry of Economy Trade and Industry (METI),http://www.meti.go.jp,,1.9,0.1,,1.9,0.1,JPY,%,-1,2026-09-14T04:30:00.000Z,2026-09-13T18:10:47.976832+00:00
402316,Industrial Production YoY Final,JP,Industrial Production,ECONOMICS:JPIPYY,"In Japan, industrial production measures the output of businesses integrated in industrial sector of the economy such as manufacturing, mining, and utilities.",bsnss,Jul,2026-07-31T00:00:00Z,Ministry of Economy Trade and Industry (METI),http://www.meti.go.jp,,4.9,,,4.9,,JPY,%,-1,2026-09-14T04:30:00.000Z,2026-09-13T18:10:47.976852+00:00
405023,Producer & Import Prices YoY,CH,Producer Prices Change,ECONOMICS:CHPPIYY,"In Switzerland, the Producer Price Index (PPI) is officially named “Producer and Import Price Index”.  Producer price index measures the price development of goods that are produced and sold by enterprises operating within the country and the import price index measures the price development of imported goods. Only domestic sales are considered for the producer price index when combining the indices.",prce,Aug,2026-08-31T00:00:00Z,Federal Statistical Office,https://www.bfs.admin.ch,,-2.1,,,-2.1,,CHF,%,-1,2026-09-14T06:30:00.000Z,2026-09-13T18:10:47.976921+00:00
408754,Producer & Import Prices MoM,CH,Producer Price Inflation MoM,ECONOMICS:CHPPIMM,"In Switzerland, the producer price index (which measures the price development of goods that are produced and sold by enterprises operating within the country) and the import price index (which measures the price development of imported goods) are combined into the price index for the whole range of goods. Only domestic sales are considered for the producer price index when combining the indices.",prce,Aug,2026-08-31T00:00:00Z,Federal Statistical Office,https://www.bfs.admin.ch,,-0.1,0.1,,-0.1,0.1,CHF,%,-1,2026-09-14T06:30:00.000Z,2026-09-13T18:10:47.976942+00:00
402413,New Yuan Loans,CN,New Bank Loans,,"In China, new yuan loans refer to financial institutions Renminbi credit funds balance sheet. They represent more than four-fifths of all loans.",mny,Aug,2026-08-31T00:00:00Z,Central Bank,http://www.pbc.gov.cn/,,-340.0,400.0,,-340000000000.0,400000000000.0,CNY,CNY,0,2026-09-14T09:00:00.000Z,2026-09-13T18:10:47.976961+00:00
403234,M2 Money Supply YoY,CN,Money Supply M2,ECONOMICS:CNM2,China Money Supply M2 includes M1 plus short-term time deposits in banks.,mny,Aug,2026-08-31T00:00:00Z,Central Bank,http://www.pbc.gov.cn/,,7.7,7.6,,7.7,7.6,CNY,%,-1,2026-09-14T09:00:00.000Z,2026-09-13T18:10:47.976978+00:00
402347,Outstanding Loan Growth YoY,CN,Loan Growth,ECONOMICS:CNLG,"In China, outstanding loan growth refers to year over year change in total amount of loans in domestic currency provided by the financial institutions. It includes off-balance sheet forms of financing that exist outside the conventional bank lending system, such as initial public offerings, loans from trust companies and bond sales.",mny,Aug,2026-08-31T00:00:00Z,Central Bank,http://www.pbc.gov.cn,,5.1,5.1,,5.1,5.1,CNY,%,-1,2026-09-14T09:00:00.000Z,2026-09-13T18:10:47.976995+00:00
400932,Total Social Financing,CN,Total Social Financing,,"In China, Total Social Financing refers to the volume of financing provided by the financial system to the real economy (domestic non-financial enterprises and households) during a certain period of time. Total social financing is a broad measure of credit and liquidity in the economy as it includes off-balance sheet forms of financing such as initial public offerings, loans from trust companies and bond sales.",mny,Aug,2026-08-31T00:00:00Z,Central Bank,http://www.pbc.gov.cn/,,1410.0,2040.0,,1410000000000.0,2040000000000.0,CNY,CNY,-1,2026-09-14T09:00:00.000Z,2026-09-13T18:10:47.977014+00:00
